"ID"	"product"	"gene"	"SRR15309076"	"SRR15309078"	"SRR15309074"	"SRR15309066"	"SRR15309082"	"SRR15309080"	"SRR15309070"	"SRR15309065"	"SRR15309072"	"SRR15309068"	"SRR15309063"	"SRR15309061"
"b0957"	"outer membrane protein A"	"ompA"	74480	84291	121899	46102	159324	120908	37450	103842	138422	35722	72974	49035
"b0958"	"cell division inhibitor SulA"	"sulA"	717	590	985	608	640	526	431	910	1169	374	846	469
"b0959"	"transcriptional coactivator for CRP"	"sxy"	127	163	116	221	142	80	142	221	205	96	96	109
"b0960"	"putative transporter YccS"	"yccS"	290	599	500	428	1142	898	199	585	572	247	217	192
"b0961"	"PF03733 family inner membrane protein YccF"	"yccF"	53	129	84	48	217	170	48	91	106	35	30	35
"b0962"	"DNA helicase IV"	"helD"	1012	1380	1642	963	1692	1337	637	1052	2060	615	808	691
"b0963"	"methylglyoxal synthase"	"mgsA"	1881	2300	1784	3990	2730	1769	2440	5116	2310	2319	3035	3732
"b0964"	"DUF2057 domain-containing protein YccT"	"yccT"	98	60	127	18	70	31	21	35	191	16	34	40
"b0965"	"putative HspQ acetyl donor"	"yccU"	327	346	521	219	422	216	183	268	881	166	165	184
"b0966"	"heat shock protein HspQ"	"hspQ"	985	963	2057	1980	741	677	1249	1750	2488	903	477	484
"b0967"	"23S rRNA m(5)C1962 methyltransferase"	"rlmI"	423	797	603	675	1599	1236	313	1268	747	473	356	259
"b0968"	"acylphosphatase"	"yccX"	127	136	160	30	108	75	44	57	241	27	45	32
"b0969"	"sulfur transfer protein TusE"	"tusE"	86	145	111	98	153	99	81	201	148	60	91	89
"b0970"	"modulator of FtsH protease"	"yccA"	3659	4798	5675	7400	4254	3115	4372	9447	5489	4127	2679	2781
"b0972"	"hydrogenase 1 small subunit"	"hyaA"	20	23	18	8	23	10	11	7	26	3	10	5
"b0973"	"hydrogenase 1 large subunit"	"hyaB"	21	24	37	19	31	25	17	20	33	9	11	15
"b0974"	"hydrogenase 1 cytochrome b subunit"	"hyaC"	8	14	9	3	21	11	2	2	18	1	5	9
"b0975"	"putative hydrogenase 1 maturation protease HyaD"	"hyaD"	17	26	35	14	24	20	5	15	38	9	16	11
"b0976"	"putative HyaA chaperone"	"hyaE"	5	12	16	24	12	6	5	10	18	3	1	17
"b0977"	"protein HyaF"	"hyaF"	21	28	25	27	27	14	17	28	51	12	19	10
"b0978"	"cytochrome bd-II ubiquinol oxidase subunit I"	"appC"	212	115	395	49	202	121	39	78	455	35	41	22
"b0979"	"cytochrome bd-II ubiquinol oxidase subunit II"	"appB"	156	83	217	56	174	106	32	69	312	28	32	45
"b0980"	"periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase"	"appA"	175	175	303	104	231	165	108	158	413	70	108	78
"b0981"	"protein-tyrosine kinase Etk"	"etk"	267	403	411	220	456	415	127	335	451	142	189	168
"b0982"	"phosphotyrosine-protein phosphatase Etp"	"etp"	29	17	31	22	33	42	12	21	52	11	15	7
"b0983"	"putative exopolysaccharide export lipoprotein GfcE"	"gfcE"	73	99	94	26	116	106	18	59	111	31	34	42
"b0984"	"putative lipoprotein GfcD"	"gfcD"	95	133	135	69	176	140	26	111	194	40	77	65
"b0985"	"capsule biosynthesis GfcC family protein"	"gfcC"	22	24	28	18	22	30	4	12	33	2	11	11
"b0986"	"lipoprotein GfcB"	"gfcB"	33	36	37	3	34	18	5	20	43	8	15	26
"b0987"	"threonine-rich inner membrane protein GfcA"	"gfcA"	32	59	44	24	43	28	15	28	58	15	16	9
"b0988"	"IS1 protein InsB"	"insB4"	1954	3011	2546	907	2626	1696	804	2913	2822	792	1166	1226
"b0989"	"CspA family protein CspH"	"cspH"	10	15	7	13	12	3	4	20	12	4	8	17
"b0990"	"cold shock protein CspG"	"cspG"	38	99	61	63	108	83	59	290	55	44	104	105
"b0991"	"protein YmcE"	"ymcE"	0	2	0	0	0	0	3	1	0	0	0	0
"b0992"	"putative electron transport protein YccM"	"yccM"	18	23	24	32	32	22	27	48	33	21	149	85
"b0993"	"sensory histidine kinase TorS"	"torS"	96	137	173	115	212	163	82	156	176	72	132	196
"b0994"	"periplasmic trimethylamine-N-oxide binding protein"	"torT"	25	85	57	46	64	53	40	95	76	40	85	95
"b0995"	"DNA-binding transcriptional dual regulator TorR"	"torR"	123	144	180	186	170	156	99	195	194	94	110	123
"b0996"	"cytochrome c menaquinol dehydrogenase TorC"	"torC"	19	32	23	32	30	13	10	18	27	10	12	30
"b0997"	"trimethylamine N-oxide reductase 1"	"torA"	60	74	101	94	106	93	44	80	109	31	40	60
"b0998"	"trimethylamine-N-oxide reductase-specific chaperone"	"torD"	70	120	187	33	87	91	15	74	171	33	71	88
"b0999"	"chaperone modulator CbpM"	"cbpM"	141	188	369	99	176	113	83	103	395	46	138	109
"b1000"	"curved DNA-binding protein"	"cbpA"	1357	1449	3534	589	1535	1101	433	893	3441	424	1139	733
"b1001"	"uncharacterized protein YccE"	"yccE"	8	16	22	14	17	4	9	31	24	10	11	13
"b1002"	"glucose-1-phosphatase"	"agp"	3997	3508	4321	3855	3357	2180	3205	4647	4996	3051	8121	3911
"b1003"	"PF13993 family protein YccJ"	"yccJ"	719	496	1095	80	549	278	71	200	1544	130	499	358
"b1004"	"NAD(P)H:quinone oxidoreductase"	"wrbA"	2774	1766	6228	287	2355	1359	229	517	7752	353	2478	1319
"b1006"	"pyrimidine:H(+) symporter"	"rutG"	88	78	93	82	79	57	46	63	131	23	32	53
"b1007"	"FMN reductase RutF"	"rutF"	10	11	11	18	10	7	6	12	15	2	9	15
"b1008"	"putative malonic semialdehyde reductase"	"rutE"	13	9	14	12	16	8	7	8	25	4	4	25
"b1009"	"putative aminoacrylate hydrolase RutD"	"rutD"	13	15	23	7	15	23	7	15	16	6	8	13
"b1010"	"putative aminoacrylate peracid reductase RutC"	"rutC"	1	4	4	5	9	11	2	8	11	2	3	0
"b1011"	"peroxyureidoacrylate/ureidoacrylate amidohydrolase"	"rutB"	14	18	20	23	9	6	8	11	22	11	8	3
"b1012"	"pyrimidine monooxygenase RutA"	"rutA"	7	11	9	9	8	7	3	9	13	5	3	13
"b1013"	"DNA-binding transcriptional dual regulator RutR"	"rutR"	132	230	180	279	235	165	232	401	221	181	108	141
"b1014"	"fused DNA-binding transcriptional repressor/proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase PutA"	"putA"	16946	20665	17669	7732	31166	15394	8634	24851	19679	7480	2613	3099
"b1015"	"proline:Na(+) symporter"	"putP"	6094	7749	2623	2760	6575	2967	2093	7946	3790	3218	478	583
"b1018"	"ferrous iron transport system protein EfeO"	"efeO"	43	210	80	161	724	602	80	215	127	82	76	108
"b1019"	"heme-containing peroxidase/deferrochelatase"	"efeB"	378	704	171	748	642	499	457	982	239	403	86	142
"b1020"	"ATP-binding protein PhoH"	"phoH"	374	963	401	1492	428	215	1841	1508	574	633	205	153
"b1021"	"poly-N-acetyl-D-glucosamine synthase subunit PgaD"	"pgaD"	12	30	20	53	28	16	46	107	37	24	23	32
"b1022"	"poly-N-acetyl-D-glucosamine synthase subunit PgaC"	"pgaC"	12	15	18	9	23	13	18	110	29	39	18	43
"b1023"	"poly-beta-1 6-N-acetyl-D-glucosamine N-deacetylase and beta-1 6 glycoside hydrolase"	"pgaB"	21	34	35	49	39	28	44	126	32	43	49	45
"b1024"	"partially deacetylated poly-beta-1 6-N-acetyl-D-glucosamine outer membrane porin"	"pgaA"	113	151	112	178	131	83	119	335	92	128	178	216
"b1025"	"putative diguanylate cyclase DgcT"	"dgcT"	48	111	56	99	88	64	62	197	71	77	98	107
"b1026"	"IS3 element protein InsF"	"insF4"	0	2	0	7	2	0	0	0	3	0	0	0
"b1027"	"IS3 element protein InsE"	"insE4"	5	4	0	0	5	8	1	0	5	0	0	0
"b1029"	"uncharacterized protein YcdU"	"ycdU"	5	9	2	2	5	7	2	14	5	5	2	8
"b1033"	"glyoxylate/hydroxypyruvate reductase A"	"ghrA"	1116	1684	1374	735	2018	1286	557	961	1734	640	1044	485
"b1034"	"zinc-binding phosphatase YcdX"	"ycdX"	806	1186	978	540	1509	1064	503	1094	1232	560	652	558
"b1035"	"chaperone protein YcdY"	"ycdY"	546	947	666	761	1132	959	438	1289	809	513	465	376
"b1036"	"inner membrane protein YcdZ"	"ycdZ"	209	489	282	329	570	517	169	703	266	225	191	305
"b1037"	"curli secretion channel"	"csgG"	41	78	59	58	42	47	28	49	100	11	35	28
"b1038"	"curli assembly component CsgF"	"csgF"	6	8	12	10	14	2	6	16	10	5	1	5
"b1039"	"curli assembly component CsgE"	"csgE"	6	10	17	2	4	7	5	10	13	0	4	11
"b1040"	"DNA-binding transcriptional dual regulator CsgD"	"csgD"	137	157	179	51	113	90	31	69	198	23	40	34
"b1041"	"curlin  minor subunit"	"csgB"	5	9	11	0	11	1	2	9	2	3	5	0
"b1042"	"curlin  major subunit"	"csgA"	35	42	49	34	66	49	19	40	72	18	28	36
"b1043"	"curlin chaperone"	"csgC"	13	42	11	128	19	23	85	217	21	83	38	99
"b1044"	"uncharacterized protein YmdA"	"ymdA"	39	122	42	766	105	92	395	1131	90	450	196	339
"b1045"	"2prime-O-acetyl-ADP-ribose deacetylase  regulator of RNase III activity"	"ymdB"	319	332	485	493	397	226	220	684	581	313	199	202
"b1046"	"cardiolipin synthase C"	"clsC"	379	451	565	329	416	264	184	332	852	221	149	111
"b1047"	"protein required for succinyl modification of osmoregulated periplasmic glucans"	"opgC"	85	122	105	116	182	135	69	218	159	80	86	113
"b1048"	"osmoregulated periplasmic glucans (OPGs) biosynthesis protein G"	"opgG"	2602	4365	3548	2642	5169	3568	2249	5510	4701	2730	2595	1719
"b1049"	"osmoregulated periplasmic glucans (OPGs) biosynthesis protein H"	"opgH"	1984	3220	3107	3294	4797	4060	1786	5811	3446	2794	1595	1520
"b1050"	"DUF1375 domain-containing lipoprotein YceK"	"yceK"	211	186	419	42	168	82	39	47	761	20	40	28
"b1051"	"acidic protein MsyB"	"msyB"	1321	827	1795	95	742	330	90	182	3992	81	96	58
"b1053"	"efflux pump MdtG"	"mdtG"	103	165	162	120	166	126	62	124	184	66	142	119
"b1054"	"lauroyl acyltransferase"	"lpxL"	346	581	491	635	760	598	402	917	558	350	775	641
"b1055"	"tRNA U34 hydroxylase TrhO"	"trhO"	733	1113	916	496	2015	1590	223	708	1217	270	122	166
"b1056"	"protein YceI"	"yceI"	374	471	349	233	562	386	148	363	497	199	239	147
"b1057"	"putative cytochrome b561 YceJ"	"yceJ"	28	55	67	26	54	40	19	64	97	25	18	14
"b1058"	"DUF2770 domain-containing protein YceO"	"yceO"	3	5	0	4	3	5	3	20	5	0	5	0
"b1059"	"N-methyl-L-tryptophan oxidase"	"solA"	874	1531	1216	1649	1640	1148	1069	2562	1427	1085	1012	819
"b1060"	"regulator of biofilm formation"	"bssS"	424	416	1033	1405	338	286	1384	1894	986	814	1124	1375
"b1061"	"DNA damage-inducible protein I"	"dinI"	87	146	126	197	175	156	101	248	164	128	122	179
"b1062"	"dihydroorotase"	"pyrC"	416	659	553	544	1102	700	300	1036	753	491	322	235
"b1063"	"putative lipid-binding lipoprotein YceB"	"yceB"	298	472	420	275	493	349	207	407	501	188	233	197
"b1064"	"reduced glutaredoxin 2"	"grxB"	2663	2806	4859	1048	3332	2124	766	1259	5261	640	1737	1110
"b1065"	"multidrug efflux pump MdtH"	"mdtH"	92	118	181	76	115	91	19	74	172	41	63	63
"b1066"	"ribosomal-protein-S5-alanine N-acetyltransferase"	"rimJ"	669	956	774	1313	923	724	921	1482	908	709	1036	1007
"b1067"	"DUF480 domain-containing protein YceH"	"yceH"	406	651	393	1046	669	440	726	904	552	561	841	739
"b1068"	"putative oxidoreductase YceM"	"yceM"	424	632	558	1341	766	534	704	826	740	539	742	628
"b1069"	"lipid II flippase MurJ"	"murJ"	202	377	282	394	530	425	186	496	334	216	261	221
"b1070"	"flagellar biosynthesis protein FlgN"	"flgN"	77	309	68	1052	342	257	1060	1792	127	721	1905	1200
"b1071"	"anti-sigma factor for FliA (sigma(28))"	"flgM"	60	226	48	1046	241	237	930	1547	121	729	1549	981
"b1072"	"flagellar basal body P-ring formation protein FlgA"	"flgA"	169	813	191	4045	1020	841	2839	4213	412	2572	3176	2354
"b1073"	"flagellar basal-body rod protein FlgB"	"flgB"	304	1372	372	8094	1083	1158	5396	12197	665	5323	10513	7043
"b1074"	"flagellar basal-body rod protein FlgC"	"flgC"	158	777	143	3834	640	563	2707	6276	293	2722	4724	2983
"b1075"	"flagellar biosynthesis  initiation of hook assembly"	"flgD"	428	2026	448	11658	1776	1654	8099	17510	995	8157	12868	8210
"b1076"	"flagellar hook protein FlgE"	"flgE"	1038	4650	966	22420	4163	3589	17157	40417	2175	18919	25368	13040
"b1077"	"flagellar basal-body rod protein FlgF"	"flgF"	330	1381	344	8267	1231	1110	5840	13467	797	6657	6802	4161
"b1078"	"flagellar basal-body rod protein FlgG"	"flgG"	406	1629	433	8119	1470	1212	6262	15567	858	8192	7968	4226
"b1079"	"flagellar L-ring protein"	"flgH"	114	501	162	2409	410	397	1706	4219	256	2203	2089	1172
"b1080"	"flagellar P-ring protein"	"flgI"	133	541	145	2651	498	431	1818	5122	228	2390	2073	1543
"b1081"	"putative peptidoglycan hydrolase FlgJ"	"flgJ"	112	421	101	1928	373	302	1193	3860	184	1800	1548	1156
"b1082"	"flagellar hook-filament junction protein 1"	"flgK"	162	662	210	6431	935	698	5744	9579	377	3806	6018	4347
"b1083"	"flagellar hook-filament junction protein 2"	"flgL"	196	695	223	5877	789	639	5090	9023	351	3473	6873	5974
"b1084"	"ribonuclease E"	"rne"	6566	10490	8685	9750	12863	9336	6826	17113	9193	7305	10003	7249
"b1085"	"DUF2655 domain-containing protein YceQ"	"yceQ"	795	1200	1152	1329	1092	784	881	1883	1363	750	1130	1366
"b1086"	"23S rRNA pseudouridine(955/2504/2580) synthase"	"rluC"	351	604	400	780	837	625	383	1300	567	507	277	307
"b1087"	"m(7)GTP pyrophosphatase"	"yceF"	800	882	1203	419	1028	732	243	536	1507	239	542	405
"b1088"	"DUF177 domain-containing protein YceD"	"yceD"	5188	8989	5360	6524	14555	12798	3427	12059	5704	3906	3041	3895
"b1089"	"50S ribosomal subunit protein L32"	"rpmF"	1847	3035	2422	3748	5365	5990	2618	5281	2693	1579	1482	2639
"b1090"	"putative phosphate acyltransferase"	"plsX"	1138	2115	1595	1675	3142	2318	865	2603	1853	1063	922	842
"b1091"	"3-oxoacyl-[acyl carrier protein] synthase 3"	"fabH"	1549	2514	2091	3711	3913	2980	2214	4469	2982	2141	1171	1273
"b1092"	"[acyl-carrier-protein] S-malonyltransferase"	"fabD"	1978	3518	2667	5269	5647	4398	3305	7404	3502	3664	2878	2407
"b1093"	"3-oxoacyl-[acyl-carrier-protein] reductase FabG"	"fabG"	7519	9695	10454	15419	13482	12118	9211	20686	11047	7720	7784	10092
"b1094"	"acyl carrier protein"	"acpP"	17530	23295	20552	28787	27373	22487	18817	47587	28020	13873	13544	17347
"b1095"	"3-oxoacyl-[acyl carrier protein] synthase 2"	"fabF"	4193	6066	5856	8746	9132	6891	4358	13495	6768	5650	2491	3043
"b1096"	"aminodeoxychorismate lyase"	"pabC"	192	257	296	234	361	204	149	287	416	127	120	85
"b1097"	"endolytic murein transglycosylase"	"mltG"	185	314	296	237	361	288	135	276	314	133	190	141
"b1098"	"hypothetical protein"	"tmk"	270	400	526	363	498	439	185	486	560	182	198	209
"b1099"	"DNA polymerase III subunit deltaprime"	"holB"	382	503	591	397	669	546	211	607	621	237	258	323
"b1100"	"putative metal-dependent hydrolase YcfH"	"ycfH"	913	1103	1356	297	1463	925	208	998	1709	370	348	283
"b1101"	"glucose-specific PTS enzyme IIBC component"	"ptsG"	1695	5565	3003	6448	22116	12882	6938	11944	3184	2438	970	2307
"b1102"	"ferric coprogen/ferric rhodotorulic acid outer membrane transporter"	"fhuE"	62	142	130	115	227	124	61	86	115	31	80	102
"b1103"	"purine nucleoside phosphoramidase"	"hinT"	643	873	1059	1162	906	617	828	1137	1232	632	689	610
"b1104"	"DUF1425 domain-containing protein YcfL"	"ycfL"	514	816	654	1022	942	611	647	1018	958	467	471	510
"b1105"	"outer membrane lipoprotein - activator of MrcB activity"	"lpoB"	958	1386	1546	1742	1508	922	1080	1699	1876	1004	1062	971
"b1106"	"thiamine kinase"	"thiK"	247	463	349	383	457	274	275	654	497	355	237	170
"b1107"	"beta-N-acetylhexosaminidase"	"nagZ"	738	1161	969	1171	1339	893	756	1667	1423	928	627	457
"b1108"	"UPF0227 protein YcfP"	"ycfP"	1363	1961	1675	1718	2095	1231	1108	2607	2337	1360	2606	1405
"b1109"	"NADH:quinone oxidoreductase II"	"ndh"	783	526	954	424	2423	2850	327	579	1537	343	618	513
"b1110"	"PF05433 family protein YcfJ"	"ycfJ"	395	201	593	54	217	205	23	59	882	27	47	29
"b1111"	"DNA-binding transcriptional repressor ComR"	"comR"	399	416	609	484	586	451	256	560	778	295	408	328
"b1112"	"DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA"	"bhsA"	291	108	378	11	104	71	8	21	810	7	10	16
"b1113"	"L D-transpeptidase LdtC"	"ldtC"	249	272	359	354	385	272	195	544	341	292	91	128
"b1114"	"transcription-repair coupling factor"	"mfd"	2970	4259	4087	7332	4120	3130	4129	7866	4642	3759	1886	1791
"b1115"	"inner membrane protein YcfT"	"ycfT"	53	61	56	28	61	34	20	39	96	13	41	17
"b1116"	"lipoprotein release complex - inner membrane subunit"	"lolC"	593	1132	955	1286	1089	756	698	1995	981	959	772	746
"b1117"	"lipoprotein release complex - ATP binding subunit"	"lolD"	326	540	467	625	716	551	333	929	553	418	275	304
"b1118"	"lipoprotein release complex - inner membrane subunit"	"lolE"	816	1204	1046	1220	1613	1217	704	1973	1383	862	551	644
"b1119"	"N-acetyl-D-glucosamine kinase"	"nagK"	521	803	830	853	1108	858	469	943	886	502	432	380
"b1120"	"protein-lysine deacetylase/desuccinylase/lipoamidase"	"cobB"	722	1097	902	1405	1496	928	859	1608	1133	806	735	652
"b1121"	"putative inner membrane protein"	"ycfZ"	14	31	14	57	53	30	31	80	39	31	22	6
"b1122"	"putative inner membrane protein YmfA"	"ymfA"	8	10	12	5	25	14	11	39	6	7	5	0
"b1123"	"spermidine preferential ABC transporter periplasmic binding protein"	"potD"	1316	2115	1376	1533	3460	2834	1091	1931	2054	900	622	682
"b1124"	"spermidine preferential ABC transporter membrane subunit PotC"	"potC"	199	355	213	200	603	556	78	343	294	129	75	98
"b1125"	"spermidine preferential ABC transporter membrane subunit PotB"	"potB"	78	170	103	97	311	213	37	127	145	53	20	21
"b1126"	"spermidine preferential ABC transporter ATP binding subunit"	"potA"	511	982	654	492	1580	1054	198	741	826	296	357	288
"b1127"	"peptidase T"	"pepT"	1589	1512	2433	854	2022	1443	640	1367	2918	545	3692	3228
"b1128"	"ribosomal protein-arginine oxygenase"	"roxA"	1369	1554	2112	1532	2152	1697	819	1884	2345	866	1277	1012
"b1129"	"sensor histidine kinase PhoQ"	"phoQ"	951	1196	1172	1351	1272	1019	799	1582	1573	709	724	525
"b1130"	"DNA-binding transcriptional dual regulator PhoP"	"phoP"	1184	1608	1507	1247	1597	1006	991	1864	1861	847	787	652
"b1131"	"adenylosuccinate lyase"	"purB"	759	1462	842	939	3005	1929	625	2549	1175	956	623	507
"b1132"	"lysogenization regulator"	"hflD"	523	860	804	585	1671	1314	247	1029	875	410	377	258
"b1133"	"tRNA-specific 2-thiouridylase"	"mnmA"	1411	2039	1684	1176	3281	2388	679	2219	2030	898	824	663
"b1134"	"phosphatase NudJ"	"nudJ"	92	191	168	80	245	169	50	183	186	73	61	81
"b1135"	"23S rRNA pseudouridine(2457) synthase"	"rluE"	158	295	262	140	313	186	109	232	323	102	130	110
"b1136"	"isocitrate dehydrogenase"	"icd"	30686	58228	21620	44501	65266	39778	33986	49244	30571	26138	26048	18476
"b1137"	"e14 prophage putative SAM-dependent methyltransferase YmfD"	"ymfD"	37	55	23	116	81	35	94	442	25	175	120	107
"b1138"	"e14 prophage uncharacterized protein YmfE"	"ymfE"	91	139	71	175	148	116	139	506	102	194	315	214
"b1139"	"e14 prophage cell death peptidase Lit"	"lit"	157	214	224	142	281	191	107	223	186	103	141	123
"b1140"	"e14 prophage putative integrase"	"intE"	59	54	47	38	36	26	28	52	63	21	30	50
"b1141"	"e14 prophage putative excisionase"	"xisE"	2	7	2	6	10	0	3	6	3	0	0	0
"b1142"	"e14 prophage putative protein YmfH"	"ymfH"	8	22	9	4	13	7	6	9	13	6	8	4
"b1143"	"e14 prophage uncharacterized protein YmfI"	"ymfI"	139	321	204	120	206	170	109	243	234	91	144	110
"b1144"	"e14 prophage uncharacterized protein YmfJ"	"ymfJ"	10	20	4	8	20	11	12	31	10	17	16	3
"b1145"	"e14 prophage putative repressor protein YmfK"	"ymfK"	312	423	379	285	428	344	252	605	529	231	310	467
"b1146"	"e14 prophage putative DNA-binding transcriptional regulator YmfT"	"ymfT"	13	19	18	6	12	17	0	5	27	2	2	4
"b1147"	"e14 prophage uncharacterized protein YmfL"	"ymfL"	24	46	48	37	49	22	19	34	38	19	17	22
"b1148"	"e14 prophage uncharacterized protein YmfM"	"ymfM"	5	12	4	2	10	6	2	2	7	4	0	4
"b1149"	"e14 prophage chimeric replication protein/phage terminase YmfN"	"ymfN"	22	19	17	27	31	29	8	18	17	12	12	16
"b1150"	"e14 prophage IPR020297 domain-containing protein YmfR"	"ymfR"	1	0	0	2	0	0	0	0	0	0	0	0
"b1151"	"e14 prophage protein BeeE"	"beeE"	3	20	2	10	8	10	2	8	10	2	2	0
"b1153"	"e14 prophage DUF2313 domain-containing protein YmfQ"	"ymfQ"	7	10	5	2	10	9	1	4	8	2	6	6
"b1154"	"e14 prophage protein StfP"	"ycfK"	4	4	8	3	7	0	0	7	2	3	0	0
"b1155"	"e14 prophage putative tail fiber assembly protein TfaP"	"tfaP"	3	3	4	0	9	0	1	2	4	0	4	0
"b1156"	"e14 prophage putative tail fiber assembly protein TfaE"	"tfaE"	7	16	17	11	16	8	11	12	10	7	8	8
"b1158"	"e14 prophage site-specific DNA recombinase"	"pinE"	1	7	3	11	4	2	4	6	4	2	3	0
"b1159"	"e14 prophage 5-methylcytosine-specific restriction enzyme McrA"	"mcrA"	80	114	80	107	94	47	84	219	101	70	74	68
"b1160"	"anti-adaptor protein IraM  inhibitor of sigma(S) proteolysis"	"iraM"	5	5	3	10	12	2	3	27	8	19	2	8
"b1161"	"DUF1398 domain-containing protein YcgX"	"ycgX"	10	13	12	19	7	9	9	44	5	11	30	37
"b1162"	"DNA-binding transcriptional repressor BluR"	"bluR"	720	1122	1011	656	1005	634	542	1240	1279	491	756	511
"b1163"	"blue light- and temperature-regulated antirepressor BluF"	"bluF"	445	979	576	510	763	407	342	1208	543	424	124	112
"b1164"	"putative two-component system connector protein YcgZ"	"ycgZ"	52	70	43	27	27	10	16	23	74	14	5	12
"b1165"	"putative two-component system connector protein YmgA"	"ymgA"	30	33	46	10	9	5	17	16	57	5	3	7
"b1166"	"putative two-component system connector protein AriR"	"ariR"	17	9	18	6	12	2	7	11	24	8	1	1
"b1167"	"protein YmgC"	"ymgC"	13	10	9	11	5	1	6	6	21	9	1	6
"b1168"	"putative c-di-GMP phosphodiesterase PdeG"	"pdeG"	28	33	37	16	19	17	10	34	69	19	18	13
"b1171"	"PF16456 family protein YmgD"	"ymgD"	45	135	63	15	237	275	22	42	102	9	20	15
"b1172"	"PF13488 family protein YmgG"	"ymgG"	60	220	47	18	406	331	6	48	55	14	18	44
"b1174"	"Z-ring positioning protein MinE"	"minE"	822	1383	810	1646	1547	1081	1176	2417	1076	1067	1325	1215
"b1175"	"Z-ring positioning protein MinD"	"minD"	2856	4759	3338	6626	5330	3623	4201	9203	3851	3831	5365	4124
"b1176"	"Z-ring positioning protein MinC"	"minC"	2366	4213	3039	3470	3739	2522	2320	6365	3574	2702	3660	2370
"b1177"	"PF05666 family protein YcgJ"	"ycgJ"	335	389	392	253	484	290	217	443	474	175	235	201
"b1178"	"inhibitor of g-type lysozyme"	"pliG"	186	224	271	210	261	169	137	286	276	117	390	267
"b1179"	"PF05166 family protein YcgL"	"ycgL"	375	574	455	578	567	373	420	881	589	320	401	388
"b1180"	"putative isomerase/hydrolase"	"ycgM"	352	500	460	678	579	467	484	729	592	281	448	471
"b1181"	"PF03693 family protein YcgN"	"ycgN"	258	353	457	275	338	253	182	343	506	149	168	159
"b1182"	"hemolysin E"	"hlyE"	81	65	121	21	46	24	7	22	127	15	56	38
"b1183"	"DNA polymerase V protein UmuD"	"umuD"	28	25	52	17	41	17	24	33	49	16	18	14
"b1184"	"DNA polymerase V catalytic protein"	"umuC"	55	87	95	103	108	57	41	107	130	44	62	45
"b1185"	"protein thiol:quinone oxidoreductase DsbB"	"dsbB"	291	530	449	592	536	453	337	786	392	334	415	475
"b1186"	"Na(+):H(+) antiporter NhaB"	"nhaB"	808	1643	1166	1520	2121	1736	826	2610	1269	1021	1051	888
"b1187"	"DNA-binding transcriptional dual regulator FadR"	"fadR"	880	1018	880	1004	1208	929	636	1873	997	698	852	887
"b1188"	"PF04293 family protein YcgB"	"ycgB"	2422	1355	4368	171	1273	703	120	166	5090	72	551	319
"b1189"	"D-amino acid dehydrogenase"	"dadA"	19378	23348	18502	20793	23881	14921	13948	21359	23772	10452	3055	2658
"b1190"	"alanine racemase 2"	"dadX"	10718	13863	9943	13462	14506	9164	8259	12760	13209	6592	2327	2347
"b1191"	"putative K(+):H(+) antiporter"	"cvrA"	221	330	443	474	434	305	307	919	444	333	338	322
"b1192"	"murein L D-carboxypeptidase"	"ldcA"	382	607	692	379	588	403	232	567	725	237	318	241
"b1193"	"lytic murein transglycosylase E"	"emtA"	197	336	273	433	298	228	205	460	437	202	152	230
"b1194"	"flagellar brake protein YcgR"	"ycgR"	33	205	57	1715	284	170	1725	2238	86	727	968	652
"b1195"	"PF04226 family protein YmgE"	"ymgE"	165	106	302	15	99	56	13	23	451	7	35	10
"b1196"	"uncharacterized protein YcgY"	"ycgY"	35	25	47	9	19	14	10	11	61	6	15	25
"b1197"	"periplasmic trehalase"	"treA"	1873	1135	1862	410	871	391	308	606	2770	282	388	249
"b1198"	"dihydroxyacetone kinase subunit M"	"dhaM"	816	1843	738	10739	2668	1714	9311	14901	821	7450	10187	8117
"b1199"	"dihydroxyacetone kinase subunit L"	"dhaL"	368	644	364	5060	930	678	3922	5394	498	3098	5339	3811
"b1200"	"dihydroxyacetone kinase subunit K"	"dhaK"	1241	2526	1391	14588	4444	3052	12043	18105	1613	10188	17302	11722
"b1201"	"DNA-binding transcriptional dual regulator DhaR"	"dhaR"	236	334	352	555	398	282	417	559	471	271	283	266
"b1202"	"putative autotransporter adhesin YcgV"	"ycgV"	218	331	365	176	323	240	93	258	435	115	174	112
"b1203"	"redox-responsive ATPase YchF"	"ychF"	767	1561	1067	1829	2262	1932	1197	3825	1399	1607	1046	1002
"b1204"	"peptidyl-tRNA hydrolase"	"pth"	246	328	320	310	412	359	196	633	382	208	202	190
"b1205"	"stress-induced protein"	"ychH"	539	696	821	638	2177	1590	596	711	1032	337	2256	1658
"b1206"	"aerobic C4-dicarboxylate transporter DauA"	"dauA"	134	173	217	278	275	184	123	368	267	162	220	175
"b1207"	"ribose-phosphate diphosphokinase"	"prs"	2736	4229	3372	5090	6959	5193	1928	9290	4064	3259	2628	1978
"b1208"	"4-(cytidine 5prime-diphospho)-2-C-methyl-D-erythritol kinase"	"ispE"	2013	2661	2671	2211	4308	3055	1170	4485	3246	1910	1934	1444
"b1209"	"outer membrane lipoprotein LolB"	"lolB"	690	963	1030	606	1068	803	362	896	1344	464	393	327
